번호,지역,시군구,지원센터단위,지원센터구분,지원센터명,센터전화번호,주소,상세주소,기타유의사항
189,광주,광주광역시 북구,기초,푸드뱅크,북구기초푸드뱅크,062-266-1377,광주광역시 북구 군왕로207번길 6,(각화동),
190,대구,대구광역시 북구,기초,푸드마켓,북구사랑나눔푸드마켓,053-321-1377,대구광역시 북구 관음동로9길 10-25, (관음동),
191,대구,대구광역시 북구,기초,푸드뱅크,북구산격푸드뱅크,053-381-9193,대구광역시 북구 연암로 183, 산격기초푸드뱅크(산격종합사회복지관),
192,울산,울산광역시 북구,기초,푸드뱅크,북구푸드뱅크,052-291-1377,울산광역시 북구 산업로 1016, (연암동),
193,부산,부산광역시 북구,기초,푸드뱅크,북구푸드뱅크,051-331-4674,부산광역시 북구 덕천로 74,덕천종합사회복지관,
194,부산,부산광역시 북구,기초,푸드마켓,북구행복나눔푸드마켓,051-335-8377,부산광역시 북구 의성로115번길 11,(덕천동) 북구행복나눔푸드마켓,
195,대구,대구광역시 북구,기초,푸드마켓,북구희망나눔푸드마켓,053-954-1377,대구광역시 북구 대구체육관로 28, (산격동),
196,제주,제주특별자치도 제주시,기초,푸드뱅크,북부기초푸드뱅크,064-796-9097,제주특별자치도 제주시 한림읍 한림상로 207-9,,
197,인천,인천광역시 중구,기초,푸드뱅크,비손행복나눔푸드뱅크,032-221-0191,인천광역시 중구 참외전로152번길 5-1, (경동),
198,경기,경기도 화성시,기초,푸드뱅크,비전푸드뱅크,031-355-1277,경기도 화성시 서신면 수풀오얏길 65-11,(장외리),
199,광주,광주광역시 북구,기초,푸드뱅크,사랑나눔기초푸드뱅크,062-512-1125,광주광역시 북구 풍동길 20,(풍향동),
200,경기,경기도 이천시,기초,푸드마켓,사랑나눔이천푸드마켓,031-638-1375,경기도 이천시 경충대로2638번길 35, (중리동),
201,제주,제주특별자치도 제주시,기초,푸드마켓,사랑나눔푸드마켓·뱅크,064-758-1377,제주특별자치도 제주시 동광로 85, (일도이동),
202,서울,서울특별시 강서구,기초,푸드뱅크,사랑의등불 강서푸드뱅크마켓,02-2643-1377,서울특별시 강서구 양천로24가길 27,103 104호 (방화동  오누리빌),
203,경기,경기도 화성시,기초,푸드뱅크,사랑푸드뱅크,031-225-1377,경기도 화성시 병점중앙로 5-6,301호(능동),
204,부산,부산광역시 사상구,기초,푸드뱅크,사상구기초푸드뱅크,051-305-4286,부산광역시 사상구 모라로192번길 20-33, (모라동  주공아파트3단지),
205,경남,경상남도 사천시,기초,푸드뱅크,사천시푸드뱅크,055-831-5794,경상남도 사천시 임내길 30, (죽림동  신우심포니타운) 101동 1301호,
206,부산,부산광역시 사하구,기초,푸드뱅크,사하구푸드뱅크,051-265-9471,부산광역시 사하구 다송로 59, (다대동  다대4지구도개공영구임대아파트),
207,부산,부산광역시 사하구,기초,푸드마켓,사하사랑나눔푸드마켓,051-262-1377,부산광역시 사하구 다대로 544 진요빌딩(다대동),204호,
208,대전,대전광역시 대덕구,기초,푸드뱅크,산마을푸드뱅크,042-933-1377,대전광역시 대덕구 석봉로44번안길 14,(석봉동),
209,경남,경상남도 산청군,기초,푸드뱅크,산청군푸드뱅크,055-973-8267,경상남도 산청군 산청읍 꽃봉산로 84,,
210,강원,강원도 삼척시,기초,푸드뱅크,삼척시푸드뱅크,033-575-0516,강원도 삼척시 원당로2길 72-6, (원당동) 3층,
211,대구,대구광역시 달서구,기초,푸드뱅크,상록수푸드뱅크,053-716-6123,대구광역시 달서구 문화회관3길 25(장기동), ,
212,경북,경상북도 상주시,기초,푸드뱅크,상주시푸드뱅크,054-532-5688,경상북도 상주시 냉림1길 43-18, (냉림동) 상주시종합사회복지관,
213,대전,대전광역시 동구,기초,푸드뱅크,새소망푸드뱅크,042-624-1377,대전광역시 동구 갱이길 49, (가양동 359-6),
214,광주,광주광역시 서구,기초,푸드뱅크,서구기초푸드뱅크,062-375-1377,광주광역시 서구 운천로32번길 23,금호종합사회복지관 (금호동  금호빛여울채),
215,인천,인천광역시 서구,기초,푸드뱅크,서구태화푸드뱅크,032-564-1377,인천광역시 서구 심곡로124번길 10, (심곡동),
216,부산,부산광역시 서구,기초,푸드마켓,서구푸드마켓,051-243-1367,부산광역시 서구 대영로85번길 42, (동대신동2가),
217,인천,인천광역시 서구,기초,푸드마켓,서구푸드마켓1호점,032-576-1377,인천광역시 서구 간촌로 35-12,1층 서구푸드마켓1호점,
218,인천,인천광역시 서구,기초,푸드마켓,서구푸드마켓2호점,032-584-1377,인천광역시 서구 거북로 124, (석남동),
219,인천,인천광역시 서구,기초,푸드뱅크,서구푸드뱅크,032-574-1377,인천광역시 서구 신석로121번길 10, (석남동) 서구노인복지관,
220,부산,부산광역시 서구,기초,푸드뱅크,서구푸드뱅크,051-253-1922,부산광역시 서구 망양로193번길 104, (동대신동1가),
221,제주,제주특별자치도 서귀포시,기초,푸드마켓,서귀포 행복나눔푸드마켓·푸드뱅크,064-733-1388,제주특별자치도 서귀포시 중앙로62번길 56, (서귀동),
222,서울,서울특별시 서대문구,기초,푸드뱅크,서대문구푸드뱅크,304-1376,서울 서대문구 연희동,133-1,
223,서울,서울특별시 서대문구,기초,푸드마켓,서대문정담은푸드마켓,02-392-1377,서울특별시 서대문구 독립문로 50,(냉천동),
224,충남,충청남도 서산시,기초,푸드뱅크,서산시기초푸드뱅크,041-667-2303,충청남도 서산시 서해로 3456, (석림동) 서산석림사회복지관,
225,충남,충청남도 서산시,기초,푸드뱅크,서산카리타스농수산물지원센터,041-688-1997,충청남도 서산시 효행7로 10-3, (동문동),
226,충남,충청남도 서산시,기초,푸드마켓,서산행복나눔푸드마켓,041-665-1377,충청남도 서산시 효행7로 10-3,(동문동) 나동,
227,경기,경기도 안성시,기초,푸드뱅크,서안성푸드뱅크,031-652-5085,경기도 안성시 공도읍 진사길 79-17,(진사리),
228,충남,충청남도 서천군,기초,푸드마켓,서천군좋은친구푸드마켓,041-951-9444,충청남도 서천군 서천읍 서천로 10,1층,
229,충남,충청남도 서천군,기초,푸드뱅크,서천군좋은친구푸드뱅크,041-951-9444,충청남도 서천군 서천읍 서천로 10,1층,
230,서울,서울특별시 서초구,기초,푸드마켓,서초구 푸드뱅크마켓센터,02-579-1377,서울특별시 서초구 바우뫼로 43(우면동),68-1,
231,경기,경기도 평택시,기초,푸드뱅크,서평택푸드뱅크,031-686-7553,경기도 평택시 안중읍 송담7길 14,(안중리),
232,경북,경상북도 구미시,기초,푸드뱅크,선산푸드뱅크,054-481-2154,경상북도 구미시 선산읍 단계서길 69,나동 1층,
233,전북,전라북도 고창군,기초,푸드뱅크,선운기초푸드뱅크,063-561-1378,전라북도 고창군 고창읍 전봉준로 88-15,,
234,광주,광주광역시 북구,기초,푸드뱅크,섬기고나눔기초푸드뱅크,062-524-1377,광주광역시 북구 북문대로 70 ,(운암동),
235,경기,경기도 성남시 수정구,기초,푸드뱅크,성남시청솔푸드뱅크,031-712-6342,경기도 성남시 분당구 미금로 246 ,(금곡동  청솔마을주공6단지아파트) ,
236,경기,경기도 성남시 중원구,기초,푸드마켓,성남열린푸드뱅크·마켓,031-756-1378,경기도 성남시 분당구 탄천로 215,탄천종합운동장내 체육회관 지하2층 상점17호(야탑동),
237,서울,서울특별시 성동구,기초,푸드마켓,성동희망푸드나눔센터,02-425-1377,서울특별시 성동구 고산자로 323, (마장동)201호,
238,서울,서울특별시 성북구,기초,푸드마켓,성북구 푸드뱅크·마켓센터,02-981-1377,서울특별시 성북구 아리랑로4길 22,301호,
239,경북,경상북도 성주군,기초,푸드뱅크,성주군푸드뱅크,054-932-3551,경상북도 성주군 수륜면 성주가야산로 616,실로암육아원,
240,세종,세종특별자치시,기초,푸드뱅크,세종사랑나눔푸드마켓·뱅크,044-868-1311,세종특별자치시 조치원읍 터미널안길 60,6-2호,
241,경기,경기도 이천시,기초,푸드뱅크,소망더함푸드뱅크,031-631-1377,경기도 이천시 마장면 서이천로 105-6,(이치리),
242,강원,강원도 속초시,기초,푸드뱅크,속초기초푸드뱅크,033-635-0758,강원 속초시 먹거리길19,주공3차 아파트 단지내,
243,경기,경기도 포천시,기초,푸드뱅크,솔모루푸드뱅크,031-543-1377,경기도 포천시 소흘읍 송우로132번길 56,(송우리),
244,광주,광주광역시 광산구,기초,푸드뱅크,송광푸드뱅크,062-945-1377,광주광역시 광산구 우산로 17, (우산동  우산빛여울채),
245,서울,서울특별시 송파구,기초,푸드마켓,송파푸드마켓  송파푸드뱅크,02-2043-1377,서울 송파구 마천동,182-2,
246,대구,대구광역시 수성구,기초,푸드뱅크,수성구지산푸드뱅크,053-781-1377,대구광역시 수성구 용학로 325,지산종합사회복지관(지산동  지산5단지아파트),
247,부산,부산광역시 수영구,기초,푸드뱅크,수영구푸드뱅크,051-755-3367,부산 수영구 망미동,774-269 부산종합사회복지관,
248,경기,경기도 수원시 장안구,기초,푸드뱅크,수원시장안푸드뱅크,031-271-1377,경기도 수원시 장안구 장안로63번길 8 ,(영화동),
249,경기,경기도 수원시 영통구,기초,푸드뱅크,수원시푸드뱅크,031-257-1378,경기도 수원시 팔달구 매산로 86, (매산로3가),
250,경기,경기도 수원시 팔달구,기초,푸드마켓,수원시해누리푸드마켓,031-238-1378,경기도 수원시 팔달구 매산로 86,1층 (매산로3가),
251,전북,전라북도 순창군,기초,푸드뱅크,순창군기초푸드뱅크,063-653-9120,전라북도 순창군 순창읍 장류로 407-30,순창군사회복지협의회,
252,전남,전라남도 순천시,기초,푸드마켓,순천시푸드마켓,061-746-8206,전라남도 순천시 우석로 130,1층,
253,전남,전라남도 순천시,기초,푸드뱅크,순천시푸드뱅크,061-741-3062,전라남도 순천시 저전길 84, (인제동),
254,광주,광주광역시 서구,기초,푸드뱅크,시영기초푸드뱅크,062-371-1377,광주광역시 서구 화정로 87-1,시영종합사회복지관,
255,경기,경기도 시흥시,기초,푸드마켓,시흥푸드뱅크마켓센터,031-434-1379,경기도 시흥시 오동마을로45번길 7,(정왕동),
256,전남,전라남도 여수시,기초,푸드뱅크,쌍봉기초푸드뱅크,061-682-1477,전라남도 여수시 학동서4길 58-20 ,(학동) ,
257,광주,광주광역시 서구,기초,푸드뱅크,쌍촌기초푸드뱅크,062-384-1377,광주광역시 서구 쌍학로 47,(쌍촌동  영구임대아파트),
258,경기,경기도 용인시 처인구,기초,푸드뱅크,아름다운동행 푸드뱅크,031-339-1377,경기도 용인시 처인구 금령로71번길 8,중105호 (김량장동),
259,울산,울산광역시 중구,기초,푸드뱅크,아름다운푸드뱅크,052-292-1365,울산광역시 중구 화합로 366-1, (반구동),
260,충남,충청남도 아산시,기초,푸드뱅크,아산시기초푸드뱅크,041-534-1377,충청남도 아산시 염치읍 송곡안길 2-23,1층,
261,경북,경상북도 안동시,기초,푸드뱅크,안동시푸드뱅크,054-858-1361,경상북도 안동시 복주5길 23-17, (옥동),
262,경기,경기도 안산시 단원구,기초,푸드뱅크,안산나눔푸드뱅크,031-419-1377,경기도 안산시 단원구 신촌3길 28,(초지동),
263,경기,경기도 안산시 단원구,기초,푸드뱅크,안산사랑푸드뱅크,070-5014-5855,경기도 안산시 상록구 원당골3길 6-1,102호(수암동),
264,경기,경기도 안산시 단원구,기초,푸드뱅크,안산시광림푸드뱅크,031-487-1377,경기도 안산시 단원구 예술1길 6, (고잔동),
265,경기,경기도 안산시 상록구,기초,푸드뱅크,안산푸드뱅크,031-415-7890,경기도 안산시 상록구 삼태기1길 37,1층 (이동),
266,경기,경기도 안성시,기초,푸드뱅크,안성동부푸드뱅크,070-7788-1377,경기도 안성시 죽산면 죽주로 292-22,(죽산리),
267,경기,경기도 안성시,기초,푸드뱅크,안성시푸드뱅크,031-674-9451,경기도 안성시 중앙로451번길 11,2층(봉남동),
268,경기,경기도 안성시,기초,푸드뱅크,안성연화마을푸드뱅크,031-674-1356,경기도 안성시 일죽면 금일로 93,(화봉리),
269,경기,경기도 안양시 만안구,기초,푸드뱅크,안양시유쾌한푸드뱅크,031-442-8488,경기도 안양시 만안구 관악대로 5,지하층 (안양동),
270,경기,경기도 안양시 동안구,기초,푸드뱅크,안양시푸드뱅크,031-386-9957,경기도 안양시 동안구 평촌대로 389, (비산동) 실내빙상장 외부상가 5호,
271,경기,경기도 안양시 만안구,기초,푸드마켓,안양착한푸드마켓,031-476-1365,경기도 안양시 만안구 장내로 113,카톨릭회관 별관 3층(안양동),
272,강원,강원도 양구군,기초,푸드뱅크,양구기초푸드뱅크,033-482-1377,강원도 양구군 양구읍 양구새싹로 7-11 ,,
273,강원,강원도 양구군,기초,푸드뱅크,양구한마음푸드뱅크,033-481-7733,강원도 양구군 양구읍 비봉로 61,,
274,경남,경상남도 양산시,기초,푸드뱅크,양산시푸드뱅크,055-365-9544,경남 양산시 물금읍 범어리,501번지,
275,강원,강원도 양양군,기초,푸드뱅크,양양푸드뱅크,033-673-4848,강원도 양양군 강현면 일출로 42,양양지역자활센터,
276,경기,경기도 양주시,기초,푸드뱅크,양주기초푸드뱅크,031-837-1377,경기도 양주시 광적면 가래비길 93,(가납리),
277,경기,경기도 양주시,기초,푸드마켓,양주연화푸드마켓,031-861-1377,경기도 양주시 외미로64번길 35, (남방동),
278,서울,서울특별시 양천구,기초,푸드마켓,양천구푸드뱅크·마켓센터,02-2062-1377,서울특별시 양천구 중앙로 250, (신정동) 양천나눔누리센터 1층,
279,경기,경기도 양평군,기초,푸드뱅크,양평군기초푸드뱅크,031-775-7741,경기도 양평군 용문면 용문역길 67 ,(다문리),
280,경기,경기도 여주시,기초,푸드뱅크,여주구세군푸드뱅크,031-885-1138,경기도 여주시 도예로 39-11 ,(현암동),
281,경기,경기도 여주시,기초,푸드뱅크,여주군좋은이웃기초푸드뱅크,031-884-1377,경기도 여주시 가남읍 자유그린길 37,(삼군리),
282,경기,경기도 여주시,기초,푸드뱅크,여주기초푸드뱅크,031-886-9101,경기도 여주시 세종로 319-1, (교동),
283,인천,인천광역시 연수구,기초,푸드마켓,연수구푸드마켓1호점,032-817-1377,인천광역시 연수구 비류대로519번길 3-2, (선학동) 1층 연수구푸드마켓1호점,
284,인천,인천광역시 연수구,기초,푸드마켓,연수구푸드마켓2호점,032-834-2377,인천광역시 연수구 청량로184번길 17, (옥련동  휴빌리지) 102호,
285,인천,인천광역시 연수구,기초,푸드뱅크,연수구푸드뱅크,032-818-1377,인천광역시 연수구 원인재로 315, (연수동  주공1단지  2단지아파트) 세화종합사회복지관 2층,
286,부산,부산광역시 연제구,기초,푸드마켓,연제구둥지푸드마켓,051-714-1378,부산광역시 연제구 월드컵대로187번길 6, (거제동),
287,부산,부산광역시 연제구,기초,푸드뱅크,연제구푸드뱅크,051-863-8360 1,부산광역시 연제구 봉수로 17,(연산동) 연제구연산종합사회복지관,
288,경기,경기도 연천군,기초,푸드뱅크,연천군푸드뱅크,031-833-1010,경기도 연천군 전곡읍 전곡로40번길 1,(전곡리),
289,충북,충청북도 충주시,기초,푸드뱅크,연화마을푸드뱅크,,충청북도 충주시 대림1길 20, (문화동),연락처 없음
290,전남,전라남도 영광군,기초,푸드마켓,영광군푸드마켓,080-353-1377,전라남도 영광군 영광읍 옥당로 149,4층,
291,전남,전라남도 영광군,기초,푸드뱅크,영광군푸드뱅크,061-353-9740,전라남도 영광군 영광읍 천년로 1351-14,,
292,경북,경상북도 영덕군,기초,푸드뱅크,영덕군기초푸드뱅크,054-730-6616,경상북도 영덕군 영덕읍 화개길 9-6,,
293,부산,부산광역시 영도구,기초,푸드뱅크,영도구푸드뱅크,051-404-5061,부산 영도구 동삼3동,1123,
294,충북,충청북도 영동군,기초,푸드뱅크,영동나눔푸드뱅크,043-744-4949,충북 영동군 영동읍 설계리,740-1 영동군사회복지협의회(내),
295,서울,서울특별시 영등포구,기초,푸드마켓,영등포사랑나눔푸드뱅크·마켓,02-2671-1377,서울특별시 영등포구 선유동1로 80, (당산동3가) 영등포구청별관  ,
296,전남,전라남도 영암군,기초,푸드뱅크,영암군푸드뱅크,061-471-9933,전라남도 영암군 영암읍 새동네길 22-1,,
297,강원,강원도 영월군,기초,푸드뱅크,영월군푸드뱅크,033-374-6411,강원도 영월군 영월읍 덕포하리4길 19-5,,
298,경북,경상북도 영주시,기초,푸드뱅크,영주시푸드뱅크,054-639-0500,경상북도 영주시 대학로 130-1, (가흥동),
299,경북,경상북도 영천시,기초,푸드뱅크,영천시푸드뱅크,054-335-3633,경북 영천시 작산동,130,
300,경기,경기도 수원시 영통구,기초,푸드뱅크,영통푸드뱅크,031-212-1641,경기도 수원시 영통구 매봉로35번길 23-15,1층 (매탄동),
301,충남,충청남도 예산군,기초,푸드뱅크,예산군기초푸드뱅크,041-332-5402,충청남도 예산군 삽교읍 삽교로3길 57,,
302,충남,충청남도 예산군,기초,푸드마켓,예산다다푸드마켓,041-335-8700,충남 예산군 예산읍 예산리,550,
303,전남,전라남도 목포시,기초,푸드뱅크,예향참맛푸드뱅크,061-242-8980,전라남도 목포시 해안로173번길 34, (경동1가),
304,경기,경기도 오산시,기초,푸드뱅크,오산시푸드뱅크,031-378-1377,경기도 오산시 오산로272번길 23, 2층(오산동),
305,광주,광주광역시 북구,기초,푸드뱅크,오치기초푸드뱅크,062-574-1377,광주광역시 북구 서하로194번길 6 ,(오치동  오치 영구임대아파트),
306,충북,충청북도 옥천군,기초,푸드마켓,옥천군행복나눔푸드뱅크마켓,043-730-2624,충청북도 옥천군 옥천읍 삼금로4길 6,1층,
307,충북,충청북도 옥천군,기초,푸드뱅크,옥천나눔푸드뱅크,043-731-6231,충청북도 옥천군 옥천읍 응천1길 63-3,옥천나눔푸드뱅크,
308,전남,전라남도 완도군,기초,푸드뱅크,완도군기초푸드뱅크,061-554-1377,전라남도 완도군 완도읍 장보고대로 216,,
309,전북,전라북도 완주군,기초,푸드뱅크,완주군기초푸드뱅크,063-232-1377,전라북도 완주군 삼례읍 별산농원길 20,,
310,서울,서울특별시 용산구,기초,푸드마켓,용산구 푸드뱅크마켓센터,02-703-0129,서울특별시 용산구 한강대로 345 ,용산구 푸드뱅크마켓센터  (구 갈월파출소),
311,경기,경기도 용인시 기흥구,기초,푸드뱅크,용인시여럿이함께푸드뱅크,031-283-0873,경기도 용인시 기흥구 마북로247번길 92, (마북동),
312,울산,울산광역시 남구,기초,푸드마켓,울산광역시나눔푸드마켓,052-252-1377,울산광역시 남구 봉월로50번길 45(신정동),울산광역시나눔푸드마켓,
313,울산,울산광역시 울주군,기초,푸드마켓,울주푸드뱅크마켓,052-244-1377,울산광역시 울주군 언양읍 동문길 51,1층 울주푸드뱅크마켓,
314,경북,경상북도 울진군,기초,푸드뱅크,울진군푸드뱅크,054-788-2111,경북 울진군 후포면 삼율리,188-3,
315,경기,경기도 이천시,기초,푸드뱅크,웃어라나눔과기쁨푸드뱅크,031-632-6066,경기도 이천시 서희로71번길 14,(창전동),
316,강원,강원도 원주시,기초,푸드뱅크,원주만나푸드뱅크,033-764-9129,강원도 원주시 일산로82번길 36,(원동),
317,강원,강원도 원주시,기초,푸드마켓,원주시푸드나눔센터,033-747-1347,강원도 원주시 갈머리2길 31, (학성동),
318,서울,서울특별시 은평구,기초,푸드마켓,은평푸드뱅크마켓,02-354-1377,서울특별시 은평구 서오릉로 134-5, (대조동),
319,충북,충청북도 음성군,기초,푸드뱅크,음성군기초푸드뱅크,043-873-1377,충청북도 음성군 음성읍 중앙로40번길 9-1,201  202호,
320,충북,충청북도 음성군,기초,푸드뱅크,음성군한울사랑나눔푸드뱅크,043-878-4312,충청북도 음성군 생극면 음성로1620번길 7,,
321,경북,경상북도 의성군,기초,푸드뱅크,의성군푸드뱅크,054-834-2900,경북 의성군 의성읍 후죽3리,136-1,
322,경기,경기도 의왕시,기초,푸드뱅크,의왕시푸드뱅크,031-458-3027,경기도 의왕시 효행로 46, (오전동),
323,경기,경기도 의정부시,기초,푸드마켓,의정부푸드뱅크마켓,031-855-1377,경기도 의정부시 용민로92번길 12, (용현동),
324,전북,전라북도 전주시 덕진구,기초,푸드뱅크,이웃사랑푸드뱅크,070-4940-6569,전라북도 전주시 덕진구 건산로 280, (우아동2가)1층,
325,경기,경기도 이천시,기초,푸드뱅크,이천시선양푸드뱅크,031-637-1377,경기도 이천시 경충대로 2602, (중리동),
326,경기,경기도 이천시,기초,푸드뱅크,이천시푸드뱅크,031-634-1377,경기도 이천시 부발읍 신원로 18,만옥빌딩 3층(신원리),
327,전북,전라북도 익산시,기초,푸드마켓,익산행복나눔마켓뱅크,063-854-1377,전북특별자치도 익산시 중앙로7길 2-9, (갈산동),
328,강원,강원도 인제군,기초,푸드뱅크,인제군기초푸드뱅크,033-463-1377,강원도 인제군 인제읍 비봉로 48,농특산물판매장 2층 인제군사회복지협의회,
329,전북,전라북도 임실군,기초,푸드뱅크,임실군기초푸드뱅크,063-644-4438,전라북도 임실군 임실읍 운수로 33-46,,
330,전남,전라남도 장성군,기초,푸드뱅크,장성군 기초푸드뱅크,061-394-5909,전라남도 장성군 장성읍 청운길 35,산림조합 3층,
331,전북,전라북도 장수군,기초,푸드뱅크,장수군기초푸드뱅크,063-351-7072,전라북도 장수군 장수읍 시장로 27-9, (더조은빌라),
332,전남,전라남도 장흥군,기초,푸드뱅크,장흥엄마손기초푸드뱅크,061-864-4804,전라남도 장흥군 장흥읍 흥성로 37-24,장흥엄마손기초푸드뱅크,
333,전북,전라북도 전주시 덕진구,기초,푸드뱅크,전주글로벌푸드뱅크,063-211-1678,전북특별자치도 전주시 덕진구 원장동길 90, (장동) 1층,
334,전북,전라북도 전주시 완산구,기초,푸드뱅크,전주시기초푸드뱅크,063-225-4215,전라북도 전주시 완산구 소대배기로 18-34, (평화동2가  원광빌라),
335,전북,전라북도 전주시 완산구,기초,푸드뱅크,전주시새샘푸드뱅크,063-286-0217,전북특별자치도 전주시 완산구 고덕산1길 139, (대성동),
336,전북,전라북도 전주시 덕진구,기초,푸드마켓,전주시중앙푸드마켓,063-254-2758,전라북도 전주시 덕진구 솔내2길 76,101호 (송천동1가),
337,전북,전라북도 전주시 덕진구,기초,푸드뱅크,전주시중앙푸드뱅크,063-254-2758,전라북도 전주시 덕진구 사근1길 23-25, (송천동2가) 전주시중앙푸드뱅크,
338,전북,전라북도 전주시 완산구,기초,푸드마켓,전주시행복나눔푸드마켓,063-286-1377,전라북도 전주시 완산구 장승배기로 245,(평화동1가),
339,강원,강원도 정선군,기초,푸드뱅크,정선군푸드뱅크,033-592-4115,강원특별자치도 정선군 남면 별어곡1길 23-6,,
340,전북,전라북도 정읍시,기초,푸드뱅크,정읍시기초푸드뱅크,063-533-1916,전라북도 정읍시 수성2로 13-18, (수성동),
341,대구,대구광역시 동구,기초,푸드뱅크,제일푸드뱅크,053-755-1377,대구광역시 동구 송라로2길 17-6, (신천동),
342,충북,충청북도 제천시,기초,푸드뱅크,제천기초푸드뱅크,043-645-5004,충청북도 제천시 내토로 390, (영천동),
343,충북,충청북도 제천시,기초,푸드마켓,제천시푸드마켓,043-647-1377,충청북도 제천시 동명로 50, (명동),
344,대전,대전광역시 중구,기초,푸드뱅크,조은이웃푸드뱅크,042-825-9182,대전광역시 중구 당디로36번길 99, (문화동),
345,서울,서울특별시 종로구,기초,푸드마켓,종로구 푸드뱅크마켓센터,02-2148-4102,서울 종로구 숭인1동 ,55-2 숭인1동주민센터 4층,
346,서울,서울특별시 중구,기초,푸드마켓,중구 푸드뱅크마켓센터,02-2297-1377,서울특별시 중구 퇴계로 460, (신당동),
347,부산,부산광역시 중구,기초,푸드마켓,중구다솜나래푸드마켓,051-463-1388,부산 중구 영주동,551-7,
348,대구,대구광역시 중구,기초,푸드마켓,중구만나푸드마켓,053-257-1377,대구광역시 중구 대봉로43안길 50-10, (대봉동) 1층 중구만나푸드마켓,
349,인천,인천광역시 중구,기초,푸드마켓,중구푸드마켓,032-777-0377,인천광역시 중구 홍예문로 77, (전동17-38),
350,인천,인천광역시 중구,기초,푸드뱅크,중구푸드뱅크,032-761-1399,인천광역시 중구 홍예문로 77,(전동17-38),
351,울산,울산광역시 중구,기초,푸드뱅크,중구푸드뱅크,052-243-1377,울산광역시 중구 중앙길 199,(학산동),
352,대구,대구광역시 중구,기초,푸드뱅크,중구푸드뱅크,053-254-1388,대구광역시 중구 남산로7길 80,109동 102호 (남산동  까치아파트),
353,부산,부산광역시 중구,기초,푸드뱅크,중구푸드뱅크,051-464-3137,부산 중구 대청동4가,75-7,
354,서울,서울특별시 중랑구,기초,푸드마켓,중랑푸드마켓(면목점),02-6952-1376,서울특별시 중랑구 면목로 242, (면목동),
355,서울,서울특별시 중랑구,기초,푸드마켓,중랑푸드마켓·뱅크센터,02-493-1582,서울특별시 중랑구 봉화산로56길 22, (신내동),
356,충북,충청북도 증평군,기초,푸드뱅크,증평군기초푸드뱅크,043-836-6040,충청북도 증평군 증평읍 창신로 85,삼보사회복지관,
357,전남,전라남도 진도군,기초,푸드뱅크,진도군기초푸드뱅크,061-544-2210,전라남도 진도군 진도읍 교동4길 25,,
358,대구,대구광역시 동구,기초,푸드뱅크,진명푸드뱅크,053-746-1377,대구광역시 동구 아양로 239(신암동),진명시니어카운티 B1,
359,전북,전라북도 진안군,기초,푸드뱅크,진안군기초푸드뱅크,063-432-9005,전북특별자치도 진안군 진안읍 거북바위로1길 9,,
360,전북,전라북도 진안군,기초,푸드마켓,진안마이푸드마켓,063-433-1415,전라북도 진안군 진안읍 관산2길 10,진안군사회복지협의회,
361,경남,경상남도 진주시,기초,푸드뱅크,진주시푸드뱅크,055-747-1377,경상남도 진주시 서장대로 281, (이현동),
362,경남,경상남도 진주시,기초,푸드마켓,진주푸드마켓,055-747-1377,경상남도 진주시 서장대로 281, (이현동),
363,충북,충청북도 진천군,기초,푸드뱅크,진천군기초푸드뱅크,043-533-1377,충청북도 진천군 진천읍 상산로 42,진천군기초푸드뱅크,
364,충북,충청북도 진천군,기초,푸드뱅크,진천나눔과기쁨기초푸드뱅크,043-536-0129,충청북도 진천군 진천읍 진광로 72-1 ,(우주동백1차아파트),
365,경남,경상남도 창원시 진해구,기초,푸드뱅크,진해푸드뱅크,055-540-0114,경상남도 창원시 진해구 진해대로 1101(풍호동 진해구청),창원시진해종합사회복지관,
366,전북,전라북도 정읍시,기초,푸드마켓,참좋은푸드마켓,063-531-0191,전라북도 정읍시 명덕로 55, (연지동),
367,전북,전라북도 정읍시,기초,푸드뱅크,참좋은푸드뱅크,063-531-0191,전라북도 정읍시 서부산업도로 302,(연지동)2층 202호,
368,경남,경상남도 창녕군,기초,푸드뱅크,창녕군푸드뱅크,055-532-0624,경상남도 창녕군 창녕읍 조산서재골로 ,7,
369,경남,경상남도 창원시 의창구,기초,푸드뱅크,창원시기초푸드뱅크,055-253-1377,경상남도 창원시 의창구 태복산로31번길 16, (도계동),
370,경남,경상남도 창원시 성산구,기초,푸드마켓,창원시희망푸드마켓,055-283-1377,경상남도 창원시 의창구 도계로 102, (도계동  대남상가아파트) 대남상가 1층,
371,충남,충청남도 천안시,기초,푸드뱅크,천안서부푸드뱅크,041-554-3572,충청남도 천안시 동남구 태조산길 13-31 ,(원성동),
372,충남,충청남도 천안시,기초,푸드마켓,천안희망나눔푸드마켓,041-573-1377,충청남도 천안시 동남구 원성1길 24, (원성동),
373,강원,강원도 철원군,기초,푸드뱅크,철원군푸드뱅크,033-458-2998,강원 철원군 동송읍 이평로,80-1,
374,경북,경상북도 청도군,기초,푸드뱅크,청도군푸드뱅크,054-373-7575,경상북도 청도군 화양읍 청화로 79-15,,
375,경북,경상북도 청송군,기초,푸드뱅크,청송군푸드뱅크,054-873-7447,경상북도 청송군 청송읍 주왕산로 7-282,청송군푸드뱅크,
376,충남,충청남도 청양군,기초,푸드뱅크,청양푸드뱅크,041-944-1500,충청남도 청양군 운곡면 청신로 ,402 (위라리),
